idcontrato;nAnuncio;tipoprocedimento;objectoContrato;dataPublicacao;dataCelebracaoContrato;precoContratual;prazoExecucao;NIPC_entidade_comunicante;entidade_comunicante;fundamentacao
10424261;;Consulta Prévia;Seguro de Acidentes de Trabalho para os Funcionários/as da Urbe - Consultores Associados, Lda.;01/01/2024;01/01/2024;3918,75;366;505111667;Urbe - Consultores Associados, L.da;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10424331;;Ajuste Direto Regime Geral;Serviços no âmbito administrativo e apoio nas atividades da Freguesia;02/01/2024;02/01/2024;8100;272;507853024;Freguesia de Candoso (São Martinho);Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424469;;Consulta Prévia;"Serviços de limpeza de bermas, valetas, podas de árvores e manutenção de espaços públicos: manter sem vegetação selvagem as valetas de todas as ruas e caminhos da Freguesia de Carvalhosa, no concelho de Paços de Ferreira. Por vegetação selvagem deve-se compreender toda a vegetação rasteira que cresce nos caminhos, ruas e bermas, bem como arbustos até 1,5 metros de altura que sejam indicados pela entidade adjudicante. A entidade adjudicatária está autorizada a utilizar herbicidas não tóxicos autorizados pelas normas comunitárias e ainda os mecanismos de corte que considere necessário. Proceder à remoção dos detritos que resultem do exercício dos serviços que presta. Manter limpas e desimpedidas as valetas e caixas exteriores de águas pluviais. Manter limpas e desimpedidas as sarjetas e condutas de águas pluviais que sejam de fácil acesso e cuja obstrução ocorra após cada limpeza. Proceder à poda de árvores da Freguesia
";02/01/2024;02/01/2024;11520;364;507105141;Freguesia de Carvalhosa;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10424671;;Ajuste Direto Regime Geral;Prestação de Serviços - Realização de atividades e eventos, planeamento, criação e execução de suportes lúdicos;02/01/2024;02/01/2024;19200;456;506676170;Município de Seia;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424679;;Consulta Prévia;"Serviços de psicologia à população da freguesia e apoio nas atividades da Freguesia de Joane
";02/01/2024;02/01/2024;13200;365;507104676;Freguesia de Joane;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10424686;;Consulta Prévia;"AQUISIÇÃO DE SERVIÇOS DE SEGUROS

";02/01/2024;02/01/2024;6187,64;366;500122270;Fundação Raquel e Martin Sain;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10424688;;Ajuste Direto Regime Geral;Serviços no âmbito administrativo e apoio nas atividades da Freguesia;02/01/2024;02/01/2024;9600;365;510840990;União das Freguesias de Vila Cova da Lixa e Borba de Godim;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424697;;Ajuste Direto Regime Geral;"Serviços de coveiro e manutenção dos cemitérios: Abertura e aterro de sepulturas, proceder ao depósito e ao levantamento dos restos mortais, assegurar a limpeza e conservação das instalações pertencentes aos cemitérios, abertura e encerramento dos cemitérios dentro dos parâmetros estabelecidos e demais tarefas relacionadas
";02/01/2024;02/01/2024;12000;364;510840990;União das Freguesias de Vila Cova da Lixa e Borba de Godim;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424702;;Ajuste Direto Regime Geral;"Limpeza e manutenção de jardins, canteiros e pequenas podas
";02/01/2024;02/01/2024;7500;364;510836160;União das Freguesias de Conde e Gandarela;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424714;742/2023;Concurso público;Aquisição de serviços de enquadramento técnico para lecionação de aulas de natação e outras atividades aquáticas nas piscinas municipais de Almada, pelo prazo de 5 meses;03/01/2024;03/01/2024;163065,98;152;500051054;Município de Almada;Artigo 155.º do Código dos Contratos Públicos
10424732;;Ajuste Direto Regime Geral;Aquisição de serviços de psicologia clinica, para o ano 2024;03/01/2024;01/01/2024;8040;366;510840230;União das Freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim);Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424806;;Ajuste Direto Regime Geral;AQUISIÇÃO DE CONNECT 3.0 NA PLATAFORMA VORTAL VISION;03/01/2024;02/01/2024;6550;1096;507700651;Penafiel Verde, E. M.;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424851;;Ajuste Direto Regime Geral;"Serviços de coordenação do Projeto 'Candoso Ativo'. Dinamizar atividades de tempos livres para pessoas com mais de 55 anos para combater o isolamento social, inércia, hábitos pouco saudáveis. Proporcionar aos mais velhos atividades de domínio físico/motor, cognitivo, expressão plástica, desenvolvimento pessoal e social, bem como oportunidades para que, cada um e em função das suas potencialidades, possam pôr ao serviço da comunidade os seus saberes e experiências, numa perspetiva de envelhecimento ativo
";03/01/2024;02/01/2024;5700;180;507853024;Freguesia de Candoso (São Martinho);Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424853;;Consulta Prévia;Seguro de Acidentes Pessoais para os Cursos da Tipologia 3.01 – POISE-03-42I5-FSE-000025, ministrados pela Urbe – Consultores Associados, Lda.;03/01/2024;03/01/2024;3333,12;711;505111667;Urbe - Consultores Associados, L.da;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10424894;;Ao abrigo de acordo-quadro (art.º 259.º);Fornecimento de leite escolar ao abrigo do acordo-quadro para fornecimento de leite escolar celebrado pela Central de Compras da Comunidade Intermunicipal do Médio Tejo - CIMT;03/01/2024;03/01/2024;14398,2;366;506899250;Município de Vila Nova da Barquinha;Artigo 259.º do Código dos Contratos Públicos
10425032;11436/2023;Concurso público;PC.130.2023.0001092 - Projetos de Arquitetura e Especialidades para a construção de um Edifício Multifamiliar, sito no Lote IV da Rua José Gomes Ferreira, em Vila Nova de Gaia;03/01/2024;02/01/2024;132000;165;501460888;IHRU Instituto da Habitação e da Reabilitação Urbana;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos
10425077;;Consulta Prévia;"Serviços de animador do Gabinete de Inserção Profissional, de acordo com o quadro legal vigente, que, em estreita cooperação com o Instituto de Emprego e Formação Profissional, preste apoio a jovens e adultos desempregados na resolução do seu problema de inserção ou reinserção profissional, no âmbito da informação profissional para jovens e adultos desempregados, apoio na procura ativa de emprego, acompanhamento personalizado dos desempregados em fase de inserção ou reinserção profissional, divulgação de ofertas de emprego e colocação de desempregados nas ofertas disponíveis e adequadas, encaminhamento para ofertas de qualificação, divulgação e encaminhamento para medidas de apoio ao emprego, qualificação e empreendedorismo, divulgação de programas comunitários que promovam a mobilidade no emprego e na formação profissional no espaço europeu, motivação e apoio à participação em ocupações temporárias ou atividades em regime de voluntariado, que facilitem a inserção no mercado de trabalho, deslocações às entidades empregadoras, outras atividades consideradas necessárias aos desempregados inscritos nos Centros de Emprego. Apoiar os serviços relacionados com o Espaço do Cidadão
";03/01/2024;02/01/2024;11400;364;507223500;Freguesia de Moreira de Cónegos;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10425123;724/2023;Concurso público;Aquisição de serviços de recolha e transporte a destino final de resíduos urbanos (RU) e biorresíduos, monstros e monos, lavagem e manutenção de contentores do Município de Vila Real;03/01/2024;03/01/2024;215000;58;506359670;Município de Vila Real;Artigo 155.º do Código dos Contratos Públicos
10425458;;Ajuste Direto Regime Geral;Aquisição de serviços de elaboração de manual de formação e materiais de apoio sobre o tema “A responsabilidade ambiental e social dos contabilistas certificados”;03/01/2024;03/01/2024;1000;30;503692310;Ordem dos Contabilistas Certificados;Artigo 27.º, n.º 1, alínea i) do Código dos Contratos Públicos
10425920;21373/2023;Concurso público;Concurso Público n.º 06/2023;03/01/2024;03/01/2024;143846,48;366;506971244;Instituto Politécnico de Leiria;Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos
10426287;;Consulta Prévia;"Serviços de limpeza e manutenção de bermas de ruas - 2024: Limpeza de bermas, valetas e manutenção de espaços públicos. Manter sem vegetação selvagem as valetas de todas as ruas e caminhos da Freguesia de Ronfe, no Concelho de Guimarães. Por vegetação selvagem compreende-se toda a vegetação rasteira que cresce nos caminhos, ruas e bermas, bem como arbustos até 1,5 metros de altura. Utilização de herbicidas não tóxicos autorizados pelas normas comunitárias e ainda o uso de mecanismos de corte que considere necessário. Remoção dos detritos que resultem do exercício dos serviços prestados
";03/01/2024;02/01/2024;15120;364;506970892;Freguesia de Ronfe;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10426548;;Ajuste Direto Regime Geral;Aquisição de serviços de comunicações de satélite;03/01/2024;03/01/2024;18926;731;600087484;Direção Regional das Comunicações e da Transição Digital;Artigo 20.º, alínea a) do Decreto Legislativo Regional n.º 27/2015/A, de 29.12
10426665;15712/2023;Concurso público;AQUISIÇÃO DE UMA VIATURA NOVA PESADA 7,5 TONELADAS DE MERCADORIAS EQUIPADA COM GRUA PARA O MUNICIPIO DE ALCÁCER DO SAL;03/01/2024;03/01/2024;63800;240;502150319;Município de Alcácer do Sal;Artigo 1.1 da Portaria n.º 766/84, de 27.09
10426854;;Ajuste Direto Regime Geral;A nova candidatura do CLS tem necessidade de contratar uma nova técnica de intervenção social e comunitária com conhecimentos de psicologia pelo que abriu o procedimento de aquisição de serviços de ajuste direto por regime geral;03/01/2024;01/01/2024;4620;366;510356680;Street's Soul - Associação;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10426871;;Ajuste Direto Regime Geral;Prestação de Serviços de Informática/Internet (WEBSITE);03/01/2024;01/01/2024;5170;731;510838812;União das Freguesias de Poceirão e Marateca;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10426876;;Ajuste Direto Regime Geral;Trabalhos contínuos de movimentação de terras e restabelecimento das condições existentes, outros trabalhos que sejam necessários a intervenção de escavadoras e/ou camiões basculantes ;03/01/2024;03/01/2024;28900;366;511233639;Câmara Municipal da Calheta;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos e artigo 4.º, nº 1 do DLR nº 34/2008/M, de 14.08
10426893;;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de Corretivos da Volémia, Soluções para Conservação de orgãos, hemodialise, hemofiltração e outras soluções estéreis  AQ 306/2023 – Ano 2024;03/01/2024;01/01/2024;66780;365;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10426970;;Ajuste Direto Regime Geral;Aquisição de serviços de apoio técnico para acompanhamento de intervenções e empreitadas na ENSP NOVA;03/01/2024;03/01/2024;18552,96;731;501559094;Universidade Nova de Lisboa;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10426971;;Consulta Prévia;Substituição da Central Telefónica;03/01/2024;03/01/2024;5773,9;30;506641376;Município de Vila Verde;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10426977;;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de Corretivos da Volémia, Soluções para Conservação de orgãos, hemodialise, hemofiltração e outras soluções estéreis  AQ 306/2023 – Ano 2024;03/01/2024;01/01/2024;54711,49;365;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10426980;;Ao abrigo de acordo-quadro (art.º 258.º);Procº 1259P/2023 - Fornecimento de Energia Elétrica Em Regime De Média Tensão (MT) e Baixa Tensão Especial (BTE),  ao abrigo do Lote B e C do “Acordo Quadro para Fornecimento de Energia em Regime de Mercado Livre em Portugal (CNCM-AQ/35/2020)\';03/01/2024;03/01/2024;638407,95;365;506608972;Município de Torres Novas;Artigo 258.º do Código dos Contratos Públicos
10426990;;Ajuste Direto Regime Geral;DM CLINICO - COMPENSAÇÃO TERAPEUTICA (AJUDAS TÉCNICAS);03/01/2024;03/01/2024;20000;1;509822940;Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.;Artigo 26.º, n.º 1, alínea a) do Código dos Contratos Públicos
10427579;;Ajuste Direto Regime Geral;Prestação de serviços de limpeza para as Unidades de Saúde do Agrupamento de Centros de Saúde Oeste Sul localizadas no Concelho de Mafra e na Gestão do Município de Mafra;03/01/2024;03/01/2024;70040;60;502177080;Município de Mafra;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10427670;;Ajuste Direto Regime Geral;PRESTAÇÃO DE SERVIÇOS PARA A ELABORAÇÃO DO PROJECTO DE EXECUÇÃO DA CONSTRUÇÃO DO CAMINHO DO PASTEL - 2ª FASE - MACHICO;03/01/2024;03/01/2024;9240;60;511239440;Câmara Municipal de Machico;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos e artigo 4.º, nº 1 do DLR nº 34/2008/M, de 14.08
10427690;;Consulta Prévia;Aquisição de Serviços de Auditoria Externa e Cerificação Legal de Contas;03/01/2024;03/01/2024;8604;1096;502106506;Comunidade Intermunicipal do Médio Tejo;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10427723;;Ao abrigo de acordo-quadro (art.º 259.º);24IN10130001_Aquisição, lote 10, de Serviços de Manutenção de Equipamentos de Elevação para o Instituto de Educação da Universidade de Lisboa.;03/01/2024;02/01/2024;5724;1096;600083853;Instituto de Educação da Universidade de Lisboa;Artigo 259.º do Código dos Contratos Públicos
10427743;;Consulta Prévia;Aquisição de serviços de limpeza para as instalações da Entidade Reguladora da Saúde;03/01/2024;03/01/2024;63931,66;397;507021266;Entidade Reguladora da Saúde;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10427744;;Ajuste Direto Regime Geral;Produção de catálogos da exposição 'Fabrico Suspenso';03/01/2024;03/01/2024;6500;30;506538575;Município de São João da Madeira;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10428152;;Ajuste Direto Regime Geral;DM CLINICO -OSTEOSINTESE TRAUMA;03/01/2024;03/01/2024;20000;1;509822940;Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.;Artigo 26.º, n.º 1, alínea a) do Código dos Contratos Públicos
10428306;;Ajuste Direto Regime Geral;Serviços de limpeza de espaços públicos: limpeza semanal das ruas principais, limpeza e desobstrução de aquedutos, recolha do lixo dos caixotes espalhados pela Freguesia, limpeza das zonas envolventes aos parques de lazer e pequenas podas;03/01/2024;02/01/2024;6600;364;506970892;Freguesia de Ronfe;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10428311;;Ajuste Direto Regime Geral;Aquisição de serviços, na modalidade de ajuste direto, por critérios materiais, para a manutenção e conservação de espaços verdes da Freguesia do Areeiro;03/01/2024;03/01/2024;39306,76;60;510832873;Freguesia do Areeiro;Artigo 21.º, n.º 1, alínea c) do Código dos Contratos Públicos
10428467;;Ajuste Direto Regime Geral;"Serviços de limpeza de bermas, valetas e manutenção de espaços públicos: manter sem vegetação selvagem as valetas de todas as ruas e caminhos da Freguesia. Por vegetação selvagem deve-se compreender toda a vegetação rasteira que cresce nos caminhos, ruas e bermas, bem como arbustos até 1,5 metros de altura que sejam indicados pela entidade adjudicante. A entidade adjudicatária está autorizada a utilizar herbicidas não tóxicos autorizados pelas normas comunitárias e ainda os mecanismos de corte que considere necessários. Proceder à remoção dos detritos que resultem do exercício dos serviços que presta. Manter limpas e desimpedidas as valetas e caixas exteriores de águas pluviais. Manter limpas e desimpedidas as sarjetas e condutas de águas pluviais que sejam de fácil acesso e cuja obstrução ocorra após cada limpeza.
";03/01/2024;02/01/2024;7800;364;501170227;Freguesia de Refontoura;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10428479;;Consulta Prévia;Fornecimento e montagem de aparelhos de ar condicionado no edifício Villa Urbana de Valbom;03/01/2024;03/01/2024;25184,05;10;506831957;APPC - Associação do Porto de Paralisia Cerebral;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10428507;;Ajuste Direto Regime Geral;Prestação de serviços no sector de licenciamentos da junta de freguesia das avenidas novas;03/01/2024;03/01/2024;9600;243;510856861;Freguesia de Avenidas Novas;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10428542;;Ajuste Direto Regime Geral;AQUISIÇÃO DE SERVIÇOS DE SUPORTE E DESENVOLVIMENTO DE CÓDIGO DO WEBSITE DA CÂMARA MUNICIPAL DE TORRES VEDRAS;03/01/2024;03/01/2024;40200;362;502173653;Município de Torres Vedras;Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos
10428641;20267/2023;Concurso público;Aquisição de produtos alimentares diversos;03/01/2024;03/01/2024;19007,99;244;504603205;Fundação Escola Profissional de Leiria;Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos
10428882;17371/2023;Concurso público;244A000008 - Aquisição de material de limpeza, pelo Centro Hospitalar Universitário de Lisboa Norte, E.P.E., durante o ano de 2024;04/01/2024;04/01/2024;6739,94;362;508481287;Unidade Local de Saúde de Santa Maria, E. P. E.;Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos
10428966;;Ajuste Direto Regime Geral;Prestação de Serviços de Manutenção e Assistência Técnica ao Sistema de Distribuição de Medicamentos da Marca Kardex ;04/01/2024;01/01/2024;6983,4;365;511228848;Serviço de Saúde da Região Autónoma da Madeira,EPE;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos e artigo 4.º, nº 1 do DLR nº 34/2008/M, de 14.08
10428996;;Ajuste Direto Regime Geral;Aquisição de serviços de apoio à elaboração e implementação de políticas gerais de recrutamento e seleção de emprego público, avaliação de desempenho, mobilidade, elaboração de diagnósticos de necessidades formativas e planos de formação;04/01/2024;03/01/2024;12000;366;506892646;Município de São João da Pesqueira;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10429042;;Consulta Prévia;Produtos de padaria e pastelaria;04/01/2024;02/01/2024;26391,96;365;600074447;Agrupamento de Escolas de Monte da Ola, Viana do Castelo;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10429161;19488/2023;Concurso público;CP 93/2023 - Aquisição de serviços para serralharia e metalomecânica pesada;04/01/2024;03/01/2024;60000;1096;505322730;EMARP - Empresa Municipal de Águas e Resíduos de Portimão, E. M., S. A.;Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos
10429229;;Consulta Prévia;REABILITAÇÃO DO ESTALEIRO MUNICIPAL DE VIMIERO E DO ANTIGO MATADOURO DE VIMIEIRO;04/01/2024;03/01/2024;110360,18;90;501258027;Município de Arraiolos;Artigo 19.º, alínea c) do Código dos Contratos Públicos
10429274;;Consulta Prévia;Congelados e peixe;04/01/2024;02/01/2024;49958,9;365;600074447;Agrupamento de Escolas de Monte da Ola, Viana do Castelo;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10429441;;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de Medicamentos Anti retrovíricos para o tratamento da infeção do VIH - ano 2024;04/01/2024;01/01/2024;624,62;365;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10429492;;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de Medicamentos Anti retrovíricos para o tratamento da infeção do VIH - ano 2024;04/01/2024;01/01/2024;2068510,8;365;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10429524;;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de Medicamentos Anti retrovíricos para o tratamento da infeção do VIH - ano 2024;04/01/2024;01/01/2024;1283413,8;365;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10429559;;Consulta Prévia;PARQUES INFANTIS EM ESCOLAS E JARDINS DE INFÂNCIA POR EMPREITADA - PARQUE INFANTIL DO CENTRO ESCOLAR DE VILA VERDE;04/01/2024;03/01/2024;9137,38;60;501305580;Município da Figueira da Foz;Artigo 19.º, alínea c) do Código dos Contratos Públicos
10429657;17674/2023;Concurso público;Concurso Público com publicidade internacional N.º 03/2023;04/01/2024;03/01/2024;351514,44;3288;506971244;Instituto Politécnico de Leiria;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos
10429683;;Ajuste Direto Regime Geral;CONTRATAÇÃO DA PRESTAÇÃO DE SERVIÇOS DE APOIO JURÍDICO NA ÁREA DE AMBIENTE E AÇÃO CLIMÁTICA.;04/01/2024;03/01/2024;19800;366;502098139;Município de Loulé;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10429732;14365/2023;Concurso público;Concurso Público Internacional para a Celebração de Acordo Quadro Singular para a Realização de Obras na Via Pública (Lotes N e S);04/01/2024;03/01/2024;0;1461;505335018;Município de Vila Nova de Gaia;Artigo 19.º, alínea a) do Código dos Contratos Públicos
10429783;;Ajuste Direto Regime Geral;AD 846.6/2023 Aquisição de serviços de suporte, manutenção preventiva e assistência técnica ao sistema Unicard Ticket do Pavilhão do Conhecimento - Ciência Viva;04/01/2024;03/01/2024;39553,5;1096;504300156;Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica;Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos
10429820;;Consulta Prévia;Transporte de Alunos da Unidade de Apoio Multideficiência - UAM;04/01/2024;02/01/2024;34362,58;179;600074447;Agrupamento de Escolas de Monte da Ola, Viana do Castelo;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10429900;;Consulta Prévia;Transporte de alunos com Perturbações do Espectro do Autismo;04/01/2024;02/01/2024;47744,5;179;600074447;Agrupamento de Escolas de Monte da Ola, Viana do Castelo;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10429925;18007/2023;Concurso público;PPC35/2023_BS/DAF - CONTRATAÇÃO DE SERVIÇOS DESEGUROS 2024_2026;04/01/2024;03/01/2024;293409,15;3288;504915266;Inframoura, E.M.;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos
10430005;;Consulta Prévia;Aquisição de serviços de publicação e divulgação no âmbito das atribuições da Direção Regional do Património – Âmbito Nacional;04/01/2024;11/01/2024;50000;1096;671001310;Secretaria Regional das Finanças;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos e artigo 4.º, nº 1 do DLR nº 34/2008/M, de 14.08 (DLR n.º 6/2018/M)
10430141;19058/2023;Concurso público;"Aquisição de serviços nas áreas de Educação Social e Nutrição
 para o desenvolvimento do projeto 'Capacita +'";04/01/2024;04/01/2024;30000;762;506808122;Município de Arouca;Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos
10430166;;Consulta Prévia;Café e Serviço de Manutenção de Equipamentos;04/01/2024;02/01/2024;4597,32;365;600074447;Agrupamento de Escolas de Monte da Ola, Viana do Castelo;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10430208;;Consulta Prévia;Papel de fotocópia e economato - Papelaria;04/01/2024;02/01/2024;24470,07;365;600074447;Agrupamento de Escolas de Monte da Ola, Viana do Castelo;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10430719;;Consulta Prévia;Aquisição de GPUs empresariais para transcrição de debates parlamentares;04/01/2024;04/01/2024;25000;366;600054128;Assembleia da República;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10430770;;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de Medicamentos do Aparelho Cardiovascular - ano 2024;04/01/2024;01/01/2024;44758,26;365;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10430831;;Ajuste Direto Regime Geral;Aquisição de serviços de elaboração de manual de formação e, materiais de apoio sobre o tema “Combustíveis - Enquadramento legal e aspetos contabilísticos e fiscais;04/01/2024;04/01/2024;500;180;503692310;Ordem dos Contabilistas Certificados;Artigo 27.º, n.º 1, alínea b) do Código dos Contratos Públicos
10430883;;Consulta Prévia;321_2023_CPA_BS Fornecimento e Montagem de Outdoors e Mupis;04/01/2024;03/01/2024;19161,46;400;505120151;FEIRA VIVA - CULTURA E DESPORTO, E.M.;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10430907;;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de Medicamentos do Aparelho Cardiovascular - ano 2024;04/01/2024;01/01/2024;85038;365;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10431101;;Ajuste Direto Regime Geral;Aquisição de serviços de apoio à Divisão de Planeamento, Obras, Ambiente e Urbanismo, no serviço de ambiente e espaços verdes e no serviço de armazéns e viaturas;04/01/2024;03/01/2024;9000;366;506892646;Município de São João da Pesqueira;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10431155;;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de Medicamentos do Aparelho Cardiovascular - ano 2024;04/01/2024;01/01/2024;56,7;365;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10431323;;Consulta Prévia;CONSULTA PRÉVIA PARA AQUISIÇÃO MASSAS BETUMINOSAS A QUENTE – Fornecimento continuo com transporte 183DAP23  MP/809/CP/B;04/01/2024;03/01/2024;74365;1095;506656128;Município de Paredes;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10431401;;Ajuste Direto Regime Geral;"O presente convite de procedimento constitui o regulamento por que se rege o procedimento pré-contratual que tem por
objeto principal: ?PLATAFORMA ELETRÓNICA DE CONCURSOS E SORTEIOS  ARRENDAMENTO ACESSÍVEL.?. A Plataforma
deverá ser uma Prestação de serviços de desenvolvimento de plataforma eletrónica com nterfaceweb para a gestão
integrada de Concursos e Sorteios de Arrendamento Acessível contemplando os seguintes módulos: ? Módulo de registo de
candidaturas; ? Módulo de registo de habitações; ? Módulo de gestão de Concursos e Sorteios..";04/01/2024;04/01/2024;7860;5;504537784;BRAGAHABIT - Empresa Municipal de Habitação de Braga, E. M.;Artigo 21.º, n.º 1, alínea c) do Código dos Contratos Públicos
10431586;;Ajuste Direto Regime Geral;Seguros de Acidentes de Trabalho;04/01/2024;02/01/2024;5473,57;366;515244244;InnovPlantProtect - Associação;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10431588;;Consulta Prévia;SEGURO OBRIGATÓRIO DE RESPONSABILIDADE CIVIL REFERENTE AO HELIPORTO SEDIADO NAS INSTALAÇÕES DO SRPC, IP-RAM;04/01/2024;04/01/2024;2121;1096;509079911;Serviço Regional de Proteção Civil, IP-RAM;
10431698;;Ajuste Direto Regime Geral;Aquisição de serviços, no regime de avença, de limpeza, atendimento e apoio administrativo na Mata do Cabo e Piscinas Descobertas;04/01/2024;03/01/2024;8400;366;506892646;Município de São João da Pesqueira;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10431826;;Ajuste Direto Regime Geral;Aquisição de serviços, no regime de avença, de limpeza nas várias instalações do Município;04/01/2024;03/01/2024;7800;366;506892646;Município de São João da Pesqueira;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10431834;;Ajuste Direto Regime Geral;Ajuste Direto Aquisição de Componentes Auto (elétricos) - Procº 154/DAP/23 - MP/856/AD/B - 2023;04/01/2024;03/01/2024;19900;1095;506656128;Município de Paredes;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10432040;;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de Medicamentos do Aparelho Cardiovascular - ano 2024;04/01/2024;01/01/2024;6744,9;365;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10432106;;Ajuste Direto Regime Geral;Aquisição de serviços de limpeza e manutenção para o Centro de Recolha Oficial Intermunicipal de Abrantes, Constância e Sardoal (CRO);04/01/2024;04/01/2024;9600;366;502661038;Município de Abrantes;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
